V1	V2
IGHM	IGKV2-29
IGHM	IGKV2-28
IGHM	IGKV1D-39
IGHM	IGKV1D-33
IGHM	IGKV1D-16
IGHM	IGKV1D-12
IGHM	IGKV1-5
IGHM	IGKV1-39
IGHM	IGKV1-33
IGHM	IGKV1-17
IGHM	IGKV1-16
IGHM	IGKV1-12
IGHM	IGHV4-59
IGHM	IGHV4-39
IGHM	IGHV4-34
IGHM	IGHV3-9
IGHM	IGHV3-7
IGHM	IGHV3-53
IGHM	IGHV3-48
IGHM	IGHV3-33
IGHM	IGHV3-30
IGHM	IGHV3-23
IGHM	IGHV3-13
IGHM	IGHV3-11
IGHM	IGHV2-70
IGHM	IGHV2-5
IGHM	IGHV1-69
IGHM	IGHV1-46
IGHM	IGHV1-2
IGHM	IGKV2D-40
IGHM	BLNK
IGHM	IGKC
SYK	IGHD
SYK	IGKV5-2
SYK	IGKV4-1
SYK	IGKV3D-20
SYK	IGKV3-20
SYK	IGKV3-15
SYK	IGKV3-11
SYK	IGKV2D-30
SYK	IGKV2D-28
SYK	IGKV2-30
SYK	IGKV2-29
SYK	IGKV2-28
SYK	IGKV1D-39
SYK	IGKV1D-33
SYK	IGKV1D-16
SYK	IGKV1D-12
SYK	IGKV1-5
SYK	IGKV1-39
SYK	IGKV1-33
SYK	IGKV1-17
SYK	IGKV1-16
SYK	IGKV1-12
SYK	IGHV4-59
SYK	IGHV4-39
SYK	IGHV4-34
SYK	IGHV3-9
SYK	IGHV3-7
SYK	IGHV3-53
SYK	IGHV3-48
SYK	IGHV3-33
SYK	IGHV3-30
SYK	IGHV3-23
SYK	IGHV3-13
SYK	IGHV3-11
SYK	IGHV2-70
SYK	IGHV2-5
SYK	IGHV1-69
SYK	IGHV1-46
SYK	IGHV1-2
SYK	IGKV2D-40
SYK	BLNK
SYK	IGKC
SYK	IGHM
CD79B	IGHD
CD79B	IGKV5-2
CD79B	IGKV4-1
CD79B	IGKV3D-20
CD79B	IGKV3-20
CD79B	IGKV3-15
CD79B	IGKV3-11
CD79B	IGKV2D-30
CD79B	IGKV2D-28
CD79B	IGKV2-30
CD79B	IGKV2-29
CD79B	IGKV2-28
CD79B	IGKV1D-39
CD79B	IGKV1D-33
CD79B	IGKV1D-16
CD79B	IGKV1D-12
CD79B	IGKV1-5
CD79B	IGKV1-39
CD79B	IGKV1-33
CD79B	IGKV1-17
CD79B	IGKV1-16
